wo³omiñski;6,7;8,0;MAZOWIECKIE
wyszkowski;1,7;5,1;MAZOWIECKIE
zwoleñski;1,8;11,9;MAZOWIECKIE
¿uromiñski;2,4;14,2;MAZOWIECKIE
¿yrardowski;3,0;10,6;MAZOWIECKIE
m. Ostro³êka;2,3;9,3;MAZOWIECKIE
m. P³ock;4,4;6,9;MAZOWIECKIE
m. Radom;11,3;12,5;MAZOWIECKIE
m. Siedlce;1,7;4,6;MAZOWIECKIE
m. Warszawa;24,4;1,8;MAZOWIECKIE
brzeski;2,4;8,8;MAZOWIECKIE
g³ubczycki;1,6;10,6;MAZOWIECKIE
kêdzierzyñsko-kozielski;2,8;8,3;MAZOWIECKIE
kluczborski;1,8;8,7;MAZOWIECKIE
krapkowicki;1,6;5,9;MAZOWIECKIE
namys³owski;1,2;8,6;MAZOWIECKIE
nyski;3,8;8,9;MAZOWIECKIE
oleski;1,2;4,8;MAZOWIECKIE
opolski;2,6;7,4;MAZOWIECKIE
prudnicki;1,7;9,7;MAZOWIECKIE
strzelecki;1,4;5,4;MAZOWIECKIE
m. Opole;3,0;3,8;MAZOWIECKIE
bieszczadzki;1,3;15,2;PODKARPACKIE
brzozowski;4,5;15,8;PODKARPACKIE
dêbicki;3,6;5,8;PODKARPACKIE
jaros³awski;6,1;11,4;PODKARPACKIE
jasielski;5,6;10,6;PODKARPACKIE
kolbuszowski;2,1;8,5;PODKARPACKIE
kroœnieñski;2,4;6,7;PODKARPACKIE
le¿ajski;3,9;14,2;PODKARPACKIE
lubaczowski;2,3;9,7;PODKARPACKIE
³añcucki;3,6;11,1;PODKARPACKIE
mielecki;3,7;5,6;PODKARPACKIE
ni¿añski;3,8;16,6;PODKARPACKIE
przemyski;3,8;13,6;PODKARPACKIE
przeworski;4,1;12,1;PODKARPACKIE
ropczycko-sêdziszowski;3,6;12,4;PODKARPACKIE
rzeszowski;6,7;8,7;PODKARPACKIE
sanocki;3,0;7,2;PODKARPACKIE
stalowowolski;2,8;6,3;PODKARPACKIE
strzy¿owski;3,8;14,2;PODKARPACKIE
tarnobrzeski;1,7;7,4;PODKARPACKIE
leski;1,9;16,7;PODKARPACKIE
m. Krosno;0,9;3,3;PODKARPACKIE
m. Przemyœl;3,1;11,4;PODKARPACKIE
m. Rzeszów;7,4;5,8;PODKARPACKIE
m. Tarnobrzeg;1,5;8,6;PODKARPACKIE
augustowski;2,3;10,4;PODLASKIE
bia³ostocki;5,0;9,3;PODLASKIE
bielski;1,2;5,0;PODLASKIE
grajewski;2,1;12,2;PODLASKIE
hajnowski;1,3;8,0;PODLASKIE
kolneñski;2,3;14,0;PODLASKIE
³om¿yñski;1,2;5,8;PODLASKIE
moniecki;1,1;7,0;PODLASKIE
sejneñski;1,1;12,7;PODLASKIE
siemiatycki;1,0;6,0;PODLASKIE
sokólski;2,9;10,8;PODLASKIE
suwalski;0,6;4,3;PODLASKIE
wysokomazowiecki;1,6;5,7;PODLASKIE
zambrowski;1,1;6,5;PODLASKIE
m. Bia³ystok;9,1;6,9;PODLASKIE
m. £om¿a;2,0;8,4;PODLASKIE
m. Suwa³ki;1,8;6,3;PODLASKIE
bytowski;2,8;9,3;POMORSKIE
chojnicki;3,2;8,1;POMORSKIE
cz³uchowski;2,2;11,4;POMORSKIE
gdañski;2,4;5,3;POMORSKIE
kartuski;2,1;3,8;POMORSKIE
koœcierski;2,2;7,9;POMORSKIE
kwidzyñski;2,3;7,1;POMORSKIE
lêborski;2,4;10,6;POMORSKIE
malborski;2,1;11,9;POMORSKIE
nowodworski;1,6;15,1;POMORSKIE
pucki;2,1;7,5;POMORSKIE
s³upski;3,2;9,3;POMORSKIE
starogardzki;3,4;7,4;POMORSKIE
tczewski;3,3;7,9;POMORSKIE
wejherowski;4,5;6,9;POMORSKIE
sztumski;1,1;9,2;POMORSKIE
m. Gdañsk;8,9;3,5;POMORSKIE
m. Gdynia;3,9;3,5;POMORSKIE
m. S³upsk;2,2;5,7;POMORSKIE
m. Sopot;0,5;2,4;POMORSKIE
bêdziñski;3,6;7,7; ŒL¥SKIE
bielski;2,7;4,4; ŒL¥SKIE
cieszyñski;3,9;5,5; ŒL¥SKIE
czêstochowski;3,6;8,3; ŒL¥SKIE
gliwicki;1,9;4,9; ŒL¥SKIE
k³obucki;2,6;7,7; ŒL¥SKIE
lubliniecki;1,7;5,9; ŒL¥SKIE
miko³owski;1,8;4,5; ŒL¥SKIE
myszkowski;1,8;7,0; ŒL¥SKIE
pszczyñski;1,8;3,9; ŒL¥SKIE
raciborski;2,0;5,0; ŒL¥SKIE
rybnicki;1,3;6,9; ŒL¥SKIE
tarnogórski;3,3;6,3; ŒL¥SKIE
bieruñsko-lêdziñski;0,7;2,8; ŒL¥SKIE
wodzis³awski;3,4;7,3; ŒL¥SKIE
zawierciañski;2,8;6,9; ŒL¥SKIE
¿ywiecki;4,0;7,7; ŒL¥SKIE
m. Bielsko-Bia³a;2,8;2,7; ŒL¥SKIE
m. Bytom;4,6;10,0; ŒL¥SKIE
m. Chorzów;1,8;4,5; ŒL¥SKIE
m. Czêstochowa;4,7;4,4; ŒL¥SKIE
m. D¹browa Górnicza;2,9;5,2; ŒL¥SKIE
m. Gliwice;3,4;3,1; ŒL¥SKIE
m. Jastrzêbie-Zdrój;2,0;5,8; ŒL¥SKIE
m. Jaworzno;1,5;4,8; ŒL¥SKIE
m. Katowice;3,8;1,7; ŒL¥SKIE
m. Mys³owice;1,7;6,7; ŒL¥SKIE
m. Piekary Œl¹skie;1,3;8,3; ŒL¥SKIE
m. Ruda Œl¹ska;1,5;3,4; ŒL¥SKIE
m. Rybnik;2,5;4,5; ŒL¥SKIE
m. Siemianowice Œl¹skie;1,3;6,0; ŒL¥SKIE
m. Sosnowiec;4,9;6,8; ŒL¥SKIE
m. Œwiêtoch³owice;0,9;7,6; ŒL¥SKIE
m. Tychy;1,9;3,0; ŒL¥SKIE
m. Zabrze;3,8;7,1; ŒL¥SKIE
m. ¯ory;1,1;4,8; ŒL¥SKIE
buski;1,6;4,4; ŒWIÊTOKRZYSKIE
jêdrzejowski;2,6;7,3; ŒWIÊTOKRZYSKIE
kazimierski;1,2;7,6; ŒWIÊTOKRZYSKIE
kielecki;7,1;9,5; ŒWIÊTOKRZYSKIE
konecki;3,7;12,7; ŒWIÊTOKRZYSKIE
opatowski;3,1;13,4; ŒWIÊTOKRZYSKIE
ostrowiecki;4,2;11,6; ŒWIÊTOKRZYSKIE
piñczowski;1,2;6,7; ŒWIÊTOKRZYSKIE
sandomierski;2,7;7,4; ŒWIÊTOKRZYSKIE
skar¿yski;4,2;16,7; ŒWIÊTOKRZYSKIE
starachowicki;3,5;8,9; ŒWIÊTOKRZYSKIE
staszowski;2,3;7,3; ŒWIÊTOKRZYSKIE
w³oszczowski;1,5;7,5; ŒWIÊTOKRZYSKIE
m. Kielce;6,1;5,8; ŒWIÊTOKRZYSKIE
bartoszycki;3,3;17,5;WARMIÑSKO-MAZURSKIE
braniewski;2,5;19,4;WARMIÑSKO-MAZURSKIE
dzia³dowski;3,2;13,6;WARMIÑSKO-MAZURSKIE
elbl¹ski;3,1;15,5;WARMIÑSKO-MAZURSKIE
e³cki;4,0;12,6;WARMIÑSKO-MAZURSKIE
gi¿ycki;1,9;10,7;WARMIÑSKO-MAZURSKIE
i³awski;1,7;4,9;WARMIÑSKO-MAZURSKIE
kêtrzyñski;3,7;20,3;WARMIÑSKO-MAZURSKIE
lidzbarski;1,7;13,2;WARMIÑSKO-MAZURSKIE
mr¹gowski;1,9;11,1;WARMIÑSKO-MAZURSKIE
nidzicki;0,7;7,1;WARMIÑSKO-MAZURSKIE
nowomiejski;1,5;8,8;WARMIÑSKO-MAZURSKIE
olecki;1,5;11,6;WARMIÑSKO-MAZURSKIE
olsztyñski;4,2;10,2;WARMIÑSKO-MAZURSKIE
ostródzki;3,8;10,9;WARMIÑSKO-MAZURSKIE
piski;2,2;14,6;WARMIÑSKO-MAZURSKIE
szczycieñski;2,3;10,2;WARMIÑSKO-MAZURSKIE
go³dapski;0,9;9,9;WARMIÑSKO-MAZURSKIE
wêgorzewski;1,1;16,5;WARMIÑSKO-MAZURSKIE
m. Elbl¹g;3,2;7,9;WARMIÑSKO-MAZURSKIE
m. Olsztyn;3,0;3,5;WARMIÑSKO-MAZURSKIE
chodzieski;1,6;8,2;WIELKOPOLSKIE
czarnkowsko-trzcianecki;1,5;4,8;WIELKOPOLSKIE
gnieŸnieñski;2,1;4,1;WIELKOPOLSKIE
gostyñski;1,9;5,6;WIELKOPOLSKIE
grodziski;0,9;3,9;WIELKOPOLSKIE
jarociñski;1,4;5,1;WIELKOPOLSKIE
kaliski;0,9;2,7;WIELKOPOLSKIE
kêpiñski;0,7;1,9;WIELKOPOLSKIE
kolski;1,5;4,7;WIELKOPOLSKIE
koniñski;4,4;9,7;WIELKOPOLSKIE
koœciañski;1,1;3,6;WIELKOPOLSKIE
krotoszyñski;1,4;3,5;WIELKOPOLSKIE
leszczyñski;0,7;2,9;WIELKOPOLSKIE
miêdzychodzki;0,7;5,6;WIELKOPOLSKIE
nowotomyski;1,0;3,0;WIELKOPOLSKIE
obornicki;0,9;3,8;WIELKOPOLSKIE
ostrowski;2,4;3,4;WIELKOPOLSKIE
ostrzeszowski;1,1;4,3;WIELKOPOLSKIE
pilski;2,9;5,5;WIELKOPOLSKIE
pleszewski;1,3;5,3;WIELKOPOLSKIE
poznañski;4,0;2,0;WIELKOPOLSKIE
rawicki;1,2;4,4;WIELKOPOLSKIE
s³upecki;1,8;7,9;WIELKOPOLSKIE
szamotulski;1,4;3,6;WIELKOPOLSKIE
œredzki;1,7;7,0;WIELKOPOLSKIE
œremski;0,7;2,9;WIELKOPOLSKIE
turecki;1,7;4,6;WIELKOPOLSKIE
w¹growiecki;1,4;5,6;WIELKOPOLSKIE
wolsztyñski;0,7;2,4;WIELKOPOLSKIE
wrzesiñski;1,7;4,7;WIELKOPOLSKIE
z³otowski;2,0;6,0;WIELKOPOLSKIE
m. Kalisz;1,6;3,4;WIELKOPOLSKIE
m. Konin;2,5;7,2;WIELKOPOLSKIE
m. Leszno;1,1;3,6;WIELKOPOLSKIE
m. Poznañ;7,0;2,0;WIELKOPOLSKIE
bia³ogardzki;2,8;18,5;ZACHODNIOPOMORSKIE
choszczeñski;2,5;18,3;ZACHODNIOPOMORSKIE
drawski;2,7;13,5;ZACHODNIOPOMORSKIE
goleniowski;2,2;6,7;ZACHODNIOPOMORSKIE
gryficki;1,7;9,5;ZACHODNIOPOMORSKIE
gryfiñski;2,3;8,9;ZACHODNIOPOMORSKIE
kamieñski;2,4;16,6;ZACHODNIOPOMORSKIE
ko³obrzeski;1,4;5,0;ZACHODNIOPOMORSKIE
koszaliñski;2,9;14,3;ZACHODNIOPOMORSKIE
myœliborski;1,6;8,0;ZACHODNIOPOMORSKIE
policki;1,7;4,9;ZACHODNIOPOMORSKIE
pyrzycki;1,4;11,7;ZACHODNIOPOMORSKIE
s³awieñski;2,6;15,0;ZACHODNIOPOMORSKIE
stargardzki;3,1;8,4;ZACHODNIOPOMORSKIE
szczecinecki;4,2;17,1;ZACHODNIOPOMORSKIE
œwidwiñski;2,0;14,7;ZACHODNIOPOMORSKIE
wa³ecki;1,5;9,8;ZACHODNIOPOMORSKIE
³obeski;1,9;18,3;ZACHODNIOPOMORSKIE
m. Koszalin;3,2;6,1;ZACHODNIOPOMORSKIE
m. Szczecin;7,2;3,9;ZACHODNIOPOMORSKIE
m. Œwinoujœcie;0,7;5,2;ZACHODNIOPOMORSKIE
